probe,X,Y,Z
1,7593.75,6731.25,5450
1,7581.25,6143.75,5437.5
1,7531.25,5643.75,5387.5
1,7393.75,4656.25,5262.5
1,7281.25,3225,5012.5
1,7162.5,1281.25,4725
2,7312.5,6843.75,5425
2,7287.5,6181.25,5412.5
2,7218.75,5600,5375
2,7100,4681.25,5262.5
2,7000,3287.5,4987.5
2,6831.25,1306.25,4725
3,7031.25,6862.5,5425
3,7006.25,6181.25,5375
3,6931.25,5581.25,5337.5
3,6806.25,4693.75,5237.5
3,6668.75,3212.5,4975
3,6556.25,1581.25,4725
4,6762.5,6887.5,5462.5
4,6725,6175,5362.5
4,6656.25,5606.25,5337.5
4,6518.75,4725,5222.5
4,6381.25,3281.25,4987.5
4,6250,1606.25,4775
5,6481.25,6850,5400
5,6431.25,6225,5287.5
5,6362.5,5581.25,5300
5,6243.75,4750,5200
5,6068.75,2975,4862.5
5,5918.75,1600,4737.5
6,6168.75,6818.75,5412.5
6,6131.25,6243.75,5287.5
6,6075,5587.5,5250
6,5962.5,4718.75,5162.5
6,5768.75,3056.25,4862.5
6,5612.5,1487.5,4700
7,5912.5,6837.5,5312.5
7,5862.5,6250,5187.5
7,5806.25,5581.25,5112.5
7,5675,4731.25,5025
7,5487.5,2925,4700
7,5331.25,1637.5,4637.5
8,5637.5,6781.25,5287.5
8,5612.5,6218.75,5150
8,5525,5631.25,5075
8,5400,4731.25,4962.5
8,5193.75,3218.75,4762.5
8,5025,1756.25,4612.5
