probe,X,Y,Z
1,8800,5675,4525
1,8687.5,4837.5,4475
1,8587.5,4025,4475
1,8462.5,3025,4525
1,8312.5,2100,4700
1,8150,1037.5,4875
2,8537.5,5712.5,4475
2,8425,4900,4475
2,8287.5,4037.5,4500
2,8125,3000,4625
2,8012.5,2112.5,4650
2,7837.5,1062.5,4875
3,8262.5,5812.5,4475
3,8112.5,5037.5,4500
3,7950,4075,4525
3,7800,2975,4625
3,7725,2237.5,4650
3,7525,1100,4800
4,7962.5,5937.5,4475
4,7837.5,5112.5,4475
4,7650,4150,4475
4,7500,3012.5,4575
4,7412.5,2312.5,4650
4,7187.5,1225,4825
5,7762.5,6175,4550
5,7600,5312.5,4550
5,7375,4250,4500
5,7250,3100,4500
5,7125,2450,4650
5,6925,1287.5,4825
6,7512.5,6262.5,4450
6,7337.5,5400,4450
6,7062.5,4325,4375
6,6912.5,3200,4375
6,6850,2537.5,4600
6,6637.5,1362.5,4725
7,7225,6337.5,4525
7,7012.5,5450,4450
7,6762.5,4337.5,4275
7,6612.5,3250,4275
7,6425,1875,4550
7,6300,1437.5,4650
8,6925,6412.5,4525
8,6712.5,5575,4400
8,6450,4450,4200
8,6262.5,3300,4375
8,6012.5,2037.5,4725
8,5925,1262.5,4725
