probe,X,Y,Z
1,7737.5,6850,5175
1,7687.5,6125,5275
1,7612.5,5600,5350
1,7450,4537.5,5400
1,7312.5,3350,5475
1,7200,1412.5,5475
2,7475,7062.5,5150
2,7412.5,6275,5200
2,7300,5625,5325
2,7150,4587.5,5400
2,7000,3400,5425
2,6850,1425,5475
3,7212.5,7112.5,5150
3,7150,6300,5200
3,7037.5,5612.5,5300
3,6850,4612.5,5400
3,6687.5,3437.5,5475
3,6562.5,1737.5,5475
4,6925,7112.5,5200
4,6862.5,6287.5,5200
4,6750,5687.5,5300
4,6550,4662.5,5425
4,6400,3500,5475
4,6250,1550,5475
5,6650,6975,5125
5,6550,6325,5125
5,6475,5700,5350
5,6287.5,4687.5,5450
5,6162.5,3612.5,5475
5,5925,1587.5,5475
6,6312.5,6862.5,5100
6,6262.5,6337.5,5100
6,6200,5712.5,5225
6,6037.5,4687.5,5350
6,5887.5,3725,5475
6,5625,1637.5,5475
7,6087.5,6850,4925
7,6012.5,6350,4925
7,5937.5,5725,5025
7,5775,4687.5,5125
7,5650,3712.5,5275
7,5375,1837.5,5325
8,5825,6712.5,4900
8,5775,6337.5,4925
8,5675,5775,5000
8,5525,4687.5,5050
8,5337.5,3562.5,5250
8,5100,1950,5275
